Year,Code,Name,Recreation Visits,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output"
2021,HAVO,Hawai'i Volcanoes National Park,"1,262,747","$117,162","1,218","$54,541","$101,491","$153,928"
2021,HOSP,Hot Springs National Park,"2,162,884","$154,494","2,199","$60,944","$110,594","$207,667"
2021,INDU,Indiana Dunes National Park (National Lakeshore),"3,177,210","$156,287","1,877","$88,812","$141,460","$230,617"
2021,ISRO,Isle Royale National Park,"25,844","$5,903",101,"$1,937","$3,535","$7,126"
2021,JOTR,Joshua Tree National Park,"3,064,400","$169,725","2,037","$76,696","$124,069","$207,828"
2021,KATM,Katmai National Park & Preserve,"24,764","$40,348",569,"$22,102","$35,257","$60,382"
2021,KEFJ,Kenai Fjords National Park,"411,782","$79,270","1,379","$49,496","$67,062","$121,073"
2021,KOVA,Kobuk Valley National Park,"11,540","$18,802",265,"$10,300","$16,430","$28,138"
2021,LACL,Lake Clark National Park & Preserve,"18,278","$29,779",420,"$16,312","$26,021","$44,565"
2021,LAVO,Lassen Volcanic National Park,"359,635","$24,328",304,"$10,371","$16,574","$29,146"
2021,MACA,Mammoth Cave National Park,"515,774","$47,874",643,"$25,464","$40,940","$69,198"
2021,MEVE,Mesa Verde National Park,"548,477","$62,609",825,"$24,452","$43,215","$79,532"
2021,MORA,Mount Rainier National Park,"1,670,063","$66,989",688,"$31,951","$55,935","$86,927"
2021,NOCA,North Cascades National Park,"17,855",$953,9,$441,$751,"$1,134"
2021,OLYM,Olympic National Park,"2,718,925","$250,067","2,711","$128,686","$228,921","$351,839"
2021,PEFO,Petrified Forest National Park,"590,334","$42,363",503,"$16,190","$27,289","$48,480"
2021,PINN,Pinnacles National Park,"348,857","$24,259",252,"$12,439","$19,214","$29,895"
2021,ROMO,Rocky Mountain National Park,"4,434,848","$323,329","4,421","$183,477","$302,571","$512,723"
2021,SAGU,Saguaro National Park,"1,079,786","$77,419","1,034","$40,396","$68,323","$117,279"
2021,SEKI,Sequoia & Kings Canyon National Parks,"1,622,466","139,873","1,722","64,414","103,282","174,016"
2021,SHEN,Shenandoah National Park,"1,592,312","$112,718","1,349","$60,105","$98,200","$157,384"
2021,THRO,Theodore Roosevelt National Park,"796,085","$56,160",675,"$20,141","$34,221","$62,153"
2021,VIIS,Virgin Islands National Park,"323,999","$49,346",565,"$24,367","$45,975","$69,625"
2021,VOYA,Voyageurs National Park,"243,042","$21,583",299,"$8,521","$14,553","$27,030"
2021,WHSA,White Sands National Park (formerly White Sands National Monument),"782,469","$46,418",630,"$17,717","$28,611","$55,724"
2021,WICA,Wind Cave National Park,"709,001","$60,708",858,"$26,758","$47,401","$86,463"
2021,WRST,Wrangell - St. Elias National Park & Preserve,"50,189","$81,772","1,152","$44,793","$71,453","$122,374"
2021,YELL,Yellowstone National Park,"4,860,242","$630,282","8,736","$294,034","$456,424","$834,335"
2021,YOSE,Yosemite National Park,"3,287,595","$437,281","5,595","$214,391","$351,323","$602,564"
2021,ZION,Zion National Park,"5,039,835","$667,486","10,743","$275,750","$486,845","$947,380"
2020,ACAD,Acadia National Park,"2,669,034","$303,734","4,368","$134,853","$240,528","$411,030"
2020,ARCH,Arches National Park,"1,238,083","$151,684","2,323","$61,839","$109,729","$199,487"
2020,BADL,Badlands National Park,"916,932","$60,511",847,"$23,940","$41,344","$76,026"
2020,BIBE,Big Bend National Park,"393,907","$33,539",486,"$10,916","$20,053","$37,678"
2020,BISC,Biscayne National Park,"402,770","$26,489",347,"$13,169","$22,824","$37,147"
2020,BLCA,Black Canyon Of The Gunnison National Park,"341,619","$21,782",271,"$9,279","$16,230","$26,811"
2020,BRCA,Bryce Canyon National Park,"1,464,655","$125,173","1,810","$47,009","$83,256","$151,322"
2020,CANY,Canyonlands National Park,"493,914","$30,975",436,"$11,602","$20,276","$36,993"
2020,CARE,Capitol Reef National Park,"981,038","$72,429",954,"$25,289","$45,286","$82,231"
2020,CAVE,Carlsbad Caverns National Park,"183,835","$12,100",162,"$4,413","$7,464","$13,639"
2020,CHIS,Channel Islands National Park,"167,290","$9,816",122,"$5,348","$8,686","$13,679"
2020,CONG,Congaree National Park,"119,306","$6,186",77,"$2,387","$4,259","$7,321"
2020,CRLA,Crater Lake National Park,"670,501","$58,562",843,"$27,714","$45,622","$78,495"
2020,CUVA,Cuyahoga Valley National Park,"2,755,628","$48,457",709,"$24,396","$40,703","$70,207"
2020,DEVA,Death Valley National Park,"820,023","$68,752",845,"$33,079","$55,548","$88,425"
2020,DENA,Denali National Park & Preserve,"54,849","$57,713",703,"$27,170","$51,229","$82,511"
2020,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"48,542","$2,981",34,"$1,206","$2,080","$3,362"
2020,EVER,Everglades National Park,"702,319","$69,129",944,"$36,046","$63,416","$103,057"
2020,GAAR,Gates of the Arctic National Park & Preserve,"2,872","$4,417",54,"$2,078","$3,890","$6,292"
2020,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"486,021","$49,611",831,"$26,614","$44,498","$78,336"
2020,GLBA,Glacier Bay National Park & Preserve,"5,748","$2,061",26,"$1,045","$1,755","$3,161"
2020,GLAC,Glacier National Park,"1,698,865","$203,591","3,082","$96,935","$159,886","$287,295"
2020,GOSP,Golden Spike National Park (Historic Site),"53,106","$3,104",47,"$1,465","$2,474","$4,378"
2020,GRCA,Grand Canyon National Park,"2,897,098","$433,426","5,730","$172,989","$309,269","$530,327"
2020,GRTE,Grand Teton National Park,"3,289,638","$598,240","8,176","$260,898","$439,161","$754,041"
2020,GRBA,Great Basin National Park,"120,247","$7,121",99,"$2,199","$3,842","$7,358"
2020,GRSA,Great Sand Dunes National Park & Preserve,"461,532","$29,512",400,"$11,652","$20,452","$35,949"
2020,GRSM,Great Smoky Mountains National Park,"12,095,721","$1,024,024","14,707","$468,985","$801,570","$1,387,955"
2020,GUMO,Guadalupe Mountains National Park,"151,256","$9,673",135,"$3,653","$6,379","$11,690"
2020,HALE,Haleakalā National Park,"319,147","$20,936",221,"$9,508","$17,381","$26,641"
2020,HAVO,Hawai'i Volcanoes National Park,"589,775","$50,224",552,"$23,398","$43,424","$66,516"
2020,HOSP,Hot Springs National Park,"1,348,215","$88,090","1,310","$33,858","$63,281","$114,842"
2020,INDU,Indiana Dunes National Park (National Lakeshore),"2,293,106","$103,047","1,234","$53,371","$90,347","$140,651"
2020,ISRO,Isle Royale National Park,"6,493","$1,104",17,$344,$622,"$1,200"
