Park Name,Park Code,State,Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays
Death Valley National Park,DEVA,CA,2023,November,98719,4015,779497,6023,1218,8099,9642,258,307,54,0,19578
Death Valley National Park,DEVA,CA,2023,December,106429,4344,835564,6515,1490,8170,9869,246,929,70,0,20773
Death Valley National Park,DEVA,CA,2024,January,85415,3466,740731,5199,1463,8573,11187,266,1126,59,0,22674
Death Valley National Park,DEVA,CA,2024,February,123912,5039,1034903,7559,1559,12656,13722,128,1064,75,0,29204
Death Valley National Park,DEVA,CA,2024,March,161476,6520,1442562,9780,2357,20957,20086,401,2217,127,0,46145
Death Valley National Park,DEVA,CA,2024,April,165429,6616,1181627,9923,2290,10006,9117,379,688,34,0,22514
Death Valley National Park,DEVA,CA,2024,May,139306,5472,851384,8208,2132,2349,2262,236,65,0,0,7044
Death Valley National Park,DEVA,CA,2024,June,69830,2718,411101,4077,1399,542,320,75,23,0,0,2359
Death Valley National Park,DEVA,CA,2024,July,99078,3971,579766,5956,2456,572,144,51,21,3,0,3247
Death Valley National Park,DEVA,CA,2024,August,110158,4364,646293,6545,3117,528,221,34,21,0,0,3921
Death Valley National Park,DEVA,CA,2024,September,105027,4033,618979,6050,1640,799,736,134,88,0,0,3397
Death Valley National Park,DEVA,CA,2024,October,129633,5067,868921,7601,2265,4446,5757,303,318,24,0,13113
Death Valley National Park,DEVA,CA,2024,November,129189,5166,1062173,7749,3097,11530,13302,327,1482,86,0,29824
Death Valley National Park,DEVA,CA,2024,December,122031,4896,976043,7343,3507,9640,10906,304,1743,68,0,26168
Death Valley National Park,DEVA,CA,2025,January,123593,4948,990812,7422,3341,9334,11603,353,1934,50,0,26615
Death Valley National Park,DEVA,CA,2025,February,119257,4753,1030988,7129,3530,11642,14006,343,2485,64,0,32070
Death Valley National Park,DEVA,CA,2025,March,144755,5737,1259654,8605,4533,14730,16160,401,3776,122,0,39722
Death Valley National Park,DEVA,CA,2025,April,146003,5728,1015077,8591,4399,6608,6806,397,433,50,0,18693
Death Valley National Park,DEVA,CA,2025,May,105278,4039,657178,6058,2275,2117,1837,307,301,3,0,6840
Death Valley National Park,DEVA,CA,2025,June,76156,2973,452771,4460,2287,524,320,98,75,0,0,3304
Death Valley National Park,DEVA,CA,2025,July,89276,3532,522813,5298,2323,321,230,62,82,0,0,3019
Death Valley National Park,DEVA,CA,2025,August,97214,3816,573303,5724,3305,344,234,70,31,0,0,3984
Death Valley National Park,DEVA,CA,2025,September,91865,3466,551374,5199,2707,534,902,70,160,0,0,4374
Death Valley National Park,DEVA,CA,2025,October,110294,4435,732406,6652,3411,3173,3818,413,509,24,0,11348
Death Valley National Park,DEVA,CA,2025,November,91122,3582,733392,5372,4107,7615,7056,348,1475,70,0,20671
Death Valley National Park,DEVA,CA,2025,December,125321,5014,913835,7520,3947,7597,6259,324,1475,61,0,19663
Denali National Park & Preserve,DENA,AK,2015,January,326,14384,5204,3596,0,0,0,0,50,0,0,50
Denali National Park & Preserve,DENA,AK,2015,February,851,14642,12192,3660,0,0,0,0,118,0,0,118
Denali National Park & Preserve,DENA,AK,2015,March,2597,21568,31254,5392,0,0,0,0,144,0,0,144
Denali National Park & Preserve,DENA,AK,2015,April,2573,47840,73480,11960,0,0,0,0,1608,0,0,1608
Denali National Park & Preserve,DENA,AK,2015,May,55920,124320,1184521,31080,0,8399,11130,0,13034,390,0,32953
Denali National Park & Preserve,DENA,AK,2015,June,136454,168268,1936722,42067,0,13476,7476,0,12406,524,0,33882
Denali National Park & Preserve,DENA,AK,2015,July,155987,176379,1912904,44095,0,12562,6460,0,4006,818,0,23846
Denali National Park & Preserve,DENA,AK,2015,August,146067,133586,1731815,33397,0,12553,5121,0,3314,250,0,21238
Denali National Park & Preserve,DENA,AK,2015,September,57612,62898,695445,15725,0,7718,3710,0,1087,177,0,12692
Denali National Park & Preserve,DENA,AK,2015,October,1474,25568,16350,6392,0,0,0,0,14,0,0,14
Denali National Park & Preserve,DENA,AK,2015,November,461,19420,5244,4855,0,0,0,0,4,0,0,4
Denali National Park & Preserve,DENA,AK,2015,December,435,12334,5154,3084,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2016,January,500,14384,7224,3596,0,0,0,0,72,0,0,72
Denali National Park & Preserve,DENA,AK,2016,February,1303,14642,18264,3660,0,0,0,0,180,0,0,180
Denali National Park & Preserve,DENA,AK,2016,March,2948,21568,35972,5392,0,0,0,0,219,0,0,219
Denali National Park & Preserve,DENA,AK,2016,April,5057,47840,88720,11960,0,0,0,0,820,0,0,820
Denali National Park & Preserve,DENA,AK,2016,May,50776,127519,1001042,31880,0,1340,1292,0,16951,0,0,19583
Denali National Park & Preserve,DENA,AK,2016,June,139310,165167,2285188,41292,0,13501,5925,0,22466,0,0,41892
Denali National Park & Preserve,DENA,AK,2016,July,160357,172381,1968416,43095,0,13527,5727,0,4486,0,0,23740
Denali National Park & Preserve,DENA,AK,2016,August,151365,129106,1789762,32276,0,13351,4713,0,3171,0,0,21235
Denali National Park & Preserve,DENA,AK,2016,September,69907,55817,871886,13954,0,8550,3600,0,910,0,0,13060
Denali National Park & Preserve,DENA,AK,2016,October,2934,25568,36202,6392,0,0,0,0,31,0,0,31
Denali National Park & Preserve,DENA,AK,2016,November,1446,19420,19620,4855,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2016,December,1509,12334,20870,3084,0,0,0,0,1,0,0,1
Denali National Park & Preserve,DENA,AK,2017,January,725,14384,8152,3596,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2017,February,1467,14642,15656,3660,0,0,0,0,10,0,0,10
Denali National Park & Preserve,DENA,AK,2017,March,3449,21568,38430,5392,0,0,0,0,19,0,0,19
Denali National Park & Preserve,DENA,AK,2017,April,5314,47840,97778,11960,0,0,0,0,469,0,0,469
Denali National Park & Preserve,DENA,AK,2017,May,62497,124612,1010082,31153,0,0,0,1258,11206,0,0,12464
Denali National Park & Preserve,DENA,AK,2017,June,158590,163652,2457920,40913,0,0,0,6869,13427,0,0,20296
Denali National Park & Preserve,DENA,AK,2017,July,182400,164736,2133432,41184,0,0,0,7581,3542,0,0,11123
Denali National Park & Preserve,DENA,AK,2017,August,155201,127821,1857300,31955,0,0,0,7579,2956,0,0,10535
Denali National Park & Preserve,DENA,AK,2017,September,68323,56709,774759,14177,0,0,0,3961,1240,0,0,5201
Denali National Park & Preserve,DENA,AK,2017,October,2434,25568,25336,6392,0,0,0,0,16,0,0,16
Denali National Park & Preserve,DENA,AK,2017,November,918,19420,10176,4855,0,0,0,0,1,0,0,1
Denali National Park & Preserve,DENA,AK,2017,December,1491,12334,16710,3084,0,0,0,0,1,0,0,1
Denali National Park & Preserve,DENA,AK,2018,January,890,14384,10256,3596,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2018,February,1710,14642,18528,3660,0,0,0,0,13,0,0,13
Denali National Park & Preserve,DENA,AK,2018,March,4457,21568,56666,5392,0,0,0,0,154,0,0,154
Denali National Park & Preserve,DENA,AK,2018,April,3653,47840,88152,11960,0,0,0,0,1565,0,0,1565
Denali National Park & Preserve,DENA,AK,2018,May,52147,123692,788734,30923,0,0,0,1884,11500,0,0,13384
Denali National Park & Preserve,DENA,AK,2018,June,141216,160829,1501176,40207,0,0,0,6672,2831,0,0,9503
Denali National Park & Preserve,DENA,AK,2018,July,168177,161948,1783448,40487,0,0,0,7607,3493,0,0,11100
Denali National Park & Preserve,DENA,AK,2018,August,150861,123795,1540505,30949,0,0,0,7709,2848,0,0,10557
Denali National Park & Preserve,DENA,AK,2018,September,65251,58012,686742,14503,0,0,0,3715,1304,0,0,5019
Denali National Park & Preserve,DENA,AK,2018,October,3650,25568,41844,6392,0,0,0,0,28,0,0,28
Denali National Park & Preserve,DENA,AK,2018,November,1996,19420,23172,4855,0,0,0,0,8,0,0,8
Denali National Park & Preserve,DENA,AK,2018,December,652,12334,7348,3084,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2019,January,96,14384,1060,3596,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2019,February,2603,14642,31818,3660,0,0,0,0,121,0,0,121
Denali National Park & Preserve,DENA,AK,2019,March,4613,21568,67194,5392,0,0,0,0,328,0,0,328
Denali National Park & Preserve,DENA,AK,2019,April,3686,47840,102522,11960,0,0,0,0,2295,0,0,2295
Denali National Park & Preserve,DENA,AK,2019,May,53995,121057,671174,30264,0,0,0,2141,6700,0,0,8841
Denali National Park & Preserve,DENA,AK,2019,June,144156,161585,1712836,40396,0,0,0,6773,9688,0,0,16461
Denali National Park & Preserve,DENA,AK,2019,July,168078,164866,1787019,41216,0,0,0,7571,3881,0,0,11452
Denali National Park & Preserve,DENA,AK,2019,August,154044,123971,1540678,30993,0,0,0,6304,2295,0,0,8599
Denali National Park & Preserve,DENA,AK,2019,September,61504,60591,625864,15148,0,0,0,3593,867,0,0,4460
Denali National Park & Preserve,DENA,AK,2019,October,3863,25568,42286,6392,0,0,0,0,28,0,0,28
Denali National Park & Preserve,DENA,AK,2019,November,1799,19420,20870,4855,0,0,0,0,4,0,0,4
Denali National Park & Preserve,DENA,AK,2019,December,2715,12334,31378,3084,0,0,0,0,4,0,0,4
Denali National Park & Preserve,DENA,AK,2020,January,1330,14384,14156,3596,0,0,0,0,14,0,0,14
Denali National Park & Preserve,DENA,AK,2020,February,2863,14642,33920,3660,0,0,0,0,65,0,0,65
Denali National Park & Preserve,DENA,AK,2020,March,1687,16997,20246,4249,0,0,0,0,72,0,0,72
Denali National Park & Preserve,DENA,AK,2020,April,5,26681,96,6670,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2020,May,105,77735,13554,19434,0,0,0,432,259,0,0,691
Denali National Park & Preserve,DENA,AK,2020,June,10031,94194,159341,23548,0,0,0,2216,922,0,0,3138
Denali National Park & Preserve,DENA,AK,2020,July,13802,108714,255402,27178,0,0,0,3938,1584,0,0,5522
Denali National Park & Preserve,DENA,AK,2020,August,14482,90361,266779,22590,0,0,0,3877,1670,0,0,5547
Denali National Park & Preserve,DENA,AK,2020,September,10523,54989,168772,13747,0,0,0,2368,705,0,0,3073
Denali National Park & Preserve,DENA,AK,2020,October,13,25568,2338,6392,0,0,0,0,24,0,0,24
Denali National Park & Preserve,DENA,AK,2020,November,5,19420,218,4855,0,0,0,0,7,0,0,7
Denali National Park & Preserve,DENA,AK,2020,December,4,12334,232,3084,0,0,0,0,8,0,0,8
Denali National Park & Preserve,DENA,AK,2021,January,8,14384,106,3596,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2021,February,22,14642,570,3660,0,0,0,0,22,0,0,22
Denali National Park & Preserve,DENA,AK,2021,March,335,21568,16332,5392,0,0,0,0,574,0,0,574
Denali National Park & Preserve,DENA,AK,2021,April,1332,47840,147888,11960,0,0,0,0,5974,0,0,5974
Denali National Park & Preserve,DENA,AK,2021,May,11522,160343,361567,40086,0,0,0,1899,9784,0,0,11683
Denali National Park & Preserve,DENA,AK,2021,June,53890,243304,889497,60826,0,0,0,5412,12110,0,0,17522
Denali National Park & Preserve,DENA,AK,2021,July,71264,253370,884495,63342,0,0,0,6040,3918,0,0,9958
Denali National Park & Preserve,DENA,AK,2021,August,64724,208868,775820,52217,0,0,0,5621,2401,0,0,8022
Denali National Park & Preserve,DENA,AK,2021,September,26153,96455,318621,24114,0,0,0,2505,853,0,0,3358
Denali National Park & Preserve,DENA,AK,2021,October,233,25568,2720,6392,0,0,0,0,8,0,0,8
Denali National Park & Preserve,DENA,AK,2021,November,29,19420,298,4855,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2021,December,9,12334,92,3084,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2022,January,403,14384,4110,3596,0,0,0,0,4,0,0,4
Denali National Park & Preserve,DENA,AK,2022,February,952,14642,9564,3660,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2022,March,2073,21568,26078,5392,0,0,0,0,227,0,0,227
Denali National Park & Preserve,DENA,AK,2022,April,4237,47840,113586,11960,0,0,0,0,3186,0,0,3186
Denali National Park & Preserve,DENA,AK,2022,May,37305,135713,685714,33928,0,0,0,1366,12552,0,0,13918
Denali National Park & Preserve,DENA,AK,2022,June,104177,187622,1426711,46906,0,0,0,5178,12937,0,0,18115
Denali National Park & Preserve,DENA,AK,2022,July,115369,199682,1296889,49920,0,0,0,5907,2227,0,0,8134
Denali National Park & Preserve,DENA,AK,2022,August,112709,150150,1246002,37537,0,0,0,5529,1667,0,0,7196
Denali National Park & Preserve,DENA,AK,2022,September,43372,74620,471907,18655,0,0,0,1897,511,0,0,2408
Denali National Park & Preserve,DENA,AK,2022,October,3191,25568,32484,6392,0,0,0,0,22,0,0,22
Denali National Park & Preserve,DENA,AK,2022,November,1978,19420,19782,4855,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2022,December,1796,12334,17974,3084,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2023,January,1683,14384,16868,3596,0,0,0,0,1,0,0,1
Denali National Park & Preserve,DENA,AK,2023,February,2662,14642,27896,3660,0,0,0,0,49,0,0,49
Denali National Park & Preserve,DENA,AK,2023,March,5426,21568,59226,5392,0,0,0,0,225,0,0,225
Denali National Park & Preserve,DENA,AK,2023,April,5714,47840,131698,11960,0,0,0,0,3285,0,0,3285
Denali National Park & Preserve,DENA,AK,2023,May,34134,137989,633354,34497,0,0,0,1974,11372,0,0,13346
Denali National Park & Preserve,DENA,AK,2023,June,116853,172393,1481763,43098,0,0,0,5043,10315,0,0,15358
Denali National Park & Preserve,DENA,AK,2023,July,138246,178960,1539020,44740,0,0,0,5828,2717,0,0,8545
Denali National Park & Preserve,DENA,AK,2023,August,133255,132704,1447923,33176,0,0,0,5367,1337,0,0,6704
Denali National Park & Preserve,DENA,AK,2023,September,50544,69271,544558,17318,0,0,0,1857,405,0,0,2262
Denali National Park & Preserve,DENA,AK,2023,October,5282,25568,53428,6392,0,0,0,0,7,0,0,7
Denali National Park & Preserve,DENA,AK,2023,November,2437,19420,24374,4855,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2023,December,2486,12334,24996,3084,0,0,0,0,7,0,0,7
Denali National Park & Preserve,DENA,AK,2024,January,2265,14384,23228,3596,0,0,0,0,10,0,0,10
Denali National Park & Preserve,DENA,AK,2024,February,3828,14642,40876,3660,0,0,0,0,100,0,0,100
Denali National Park & Preserve,DENA,AK,2024,March,9651,21568,104194,5392,0,0,0,0,272,0,0,272
Denali National Park & Preserve,DENA,AK,2024,April,7485,47840,177886,11960,0,0,0,0,4587,0,0,4587
Denali National Park & Preserve,DENA,AK,2024,May,35884,136004,665988,34001,0,0,0,1668,12209,0,0,13877
Denali National Park & Preserve,DENA,AK,2024,June,116208,175537,1445320,43884,0,0,0,5263,8578,0,0,13841
Denali National Park & Preserve,DENA,AK,2024,July,98514,214454,1081953,53613,0,0,0,3125,1789,0,0,4914
Denali National Park & Preserve,DENA,AK,2024,August,132364,133607,1442365,33402,0,0,0,5568,1361,0,0,6929
Denali National Park & Preserve,DENA,AK,2024,September,48019,71675,519969,17919,0,0,0,1816,461,0,0,2277
Denali National Park & Preserve,DENA,AK,2024,October,6405,25568,65148,6392,0,0,0,0,36,0,0,36
Denali National Park & Preserve,DENA,AK,2024,November,2428,19420,24282,4855,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2024,December,3176,12334,31806,3084,0,0,0,0,2,0,0,2
Denali National Park & Preserve,DENA,AK,2025,January,2254,14384,24422,3596,0,0,0,0,80,0,0,80
Denali National Park & Preserve,DENA,AK,2025,February,3524,14642,36274,3660,0,0,0,0,37,0,0,37
Denali National Park & Preserve,DENA,AK,2025,March,8479,21568,90126,5392,0,0,0,0,203,0,0,203
Denali National Park & Preserve,DENA,AK,2025,April,8080,47840,140722,11960,0,0,0,0,2637,0,0,2637
Denali National Park & Preserve,DENA,AK,2025,May,42821,134396,712959,33599,0,0,0,1650,10783,0,0,12433
Denali National Park & Preserve,DENA,AK,2025,June,133472,164906,1674349,41226,0,0,0,5019,10630,0,0,15649
Denali National Park & Preserve,DENA,AK,2025,July,151455,172326,1666908,43082,0,0,0,5873,1987,0,0,7860
Denali National Park & Preserve,DENA,AK,2025,August,144364,127848,1569321,31962,0,0,0,5485,1204,0,0,6689
Denali National Park & Preserve,DENA,AK,2025,September,45485,74499,488915,18625,0,0,0,1522,335,0,0,1857
Denali National Park & Preserve,DENA,AK,2025,October,3,25568,96,6392,0,0,0,0,4,0,0,4
Denali National Park & Preserve,DENA,AK,2025,November,1283,19420,12960,4855,0,0,0,0,0,0,0,0
Denali National Park & Preserve,DENA,AK,2025,December,2080,12334,21762,3084,0,0,0,0,28,0,0,28
Dry Tortugas National Park,DRTO,FL,2015,January,6092,462,64890,5544,0,202,0,0,0,336,462,1000
Dry Tortugas National Park,DRTO,FL,2015,February,5213,60,56544,720,0,72,0,0,0,408,60,540
Dry Tortugas National Park,DRTO,FL,2015,March,7227,0,78936,0,0,440,0,0,0,400,0,840
Dry Tortugas National Park,DRTO,FL,2015,April,7112,75,77748,900,0,498,0,0,0,465,75,1038
Dry Tortugas National Park,DRTO,FL,2015,May,7010,498,78396,5976,0,648,0,0,0,638,498,1784
Dry Tortugas National Park,DRTO,FL,2015,June,7374,492,83193,5904,0,680,0,0,0,779,492,1951
Dry Tortugas National Park,DRTO,FL,2015,July,7171,4236,76551,50832,0,400,0,0,0,707,4236,5343
Dry Tortugas National Park,DRTO,FL,2015,August,5392,5034,69150,60408,0,684,0,0,0,674,5034,6392
Dry Tortugas National Park,DRTO,FL,2015,September,5278,492,59163,5904,0,148,0,0,0,247,492,887
Dry Tortugas National Park,DRTO,FL,2015,October,4043,192,46077,2304,0,342,0,0,0,216,192,750
Dry Tortugas National Park,DRTO,FL,2015,November,3337,564,34905,6768,0,0,0,0,0,216,564,780
Dry Tortugas National Park,DRTO,FL,2015,December,5613,12,68337,144,0,432,0,0,0,1408,12,1852
Dry Tortugas National Park,DRTO,FL,2016,January,4616,549,54525,6588,0,350,0,0,0,315,549,1214
Dry Tortugas National Park,DRTO,FL,2016,February,1313,576,16431,6912,0,456,0,0,0,350,576,1382
Dry Tortugas National Park,DRTO,FL,2016,March,7167,312,83499,3744,0,776,0,0,0,568,312,1656
Dry Tortugas National Park,DRTO,FL,2016,April,6729,6165,83658,73980,0,718,0,0,0,856,6165,7739
Dry Tortugas National Park,DRTO,FL,2016,May,7095,423,83580,5076,0,578,0,0,0,733,423,1734
Dry Tortugas National Park,DRTO,FL,2016,June,8969,420,102363,5040,0,588,0,0,0,2600,420,3608
Dry Tortugas National Park,DRTO,FL,2016,July,7692,1530,84405,18360,0,496,0,0,0,732,1530,2758
Dry Tortugas National Park,DRTO,FL,2016,August,6834,45,72927,540,0,282,0,0,0,672,45,999
Dry Tortugas National Park,DRTO,FL,2016,September,6329,45,73851,540,0,474,0,0,0,656,45,1175
Dry Tortugas National Park,DRTO,FL,2016,October,4347,45,45663,540,0,182,0,0,0,540,45,767
Dry Tortugas National Park,DRTO,FL,2016,November,6262,45,68373,540,0,446,0,0,0,860,45,1351
Dry Tortugas National Park,DRTO,FL,2016,December,6308,45,70701,540,0,588,0,0,0,560,45,1193
Dry Tortugas National Park,DRTO,FL,2017,January,4492,45,54324,540,0,410,0,0,0,292,45,747
Dry Tortugas National Park,DRTO,FL,2017,February,3900,45,49212,540,0,576,0,0,0,400,45,1021
Dry Tortugas National Park,DRTO,FL,2017,March,7200,54,76620,648,0,610,0,0,0,100,54,764
Dry Tortugas National Park,DRTO,FL,2017,April,6880,51,70068,612,0,0,0,0,0,292,51,343
Dry Tortugas National Park,DRTO,FL,2017,May,5908,261,83784,3132,0,1074,0,0,0,908,261,2243
Dry Tortugas National Park,DRTO,FL,2017,June,5568,300,75288,3600,0,706,0,0,0,568,300,1574
Dry Tortugas National Park,DRTO,FL,2017,July,5628,228,76464,2736,0,744,0,0,0,628,228,1600
Dry Tortugas National Park,DRTO,FL,2017,August,4276,75,57216,900,0,492,0,0,0,776,75,1343
Dry Tortugas National Park,DRTO,FL,2017,September,176,75,4008,900,0,158,0,0,0,176,75,409
Dry Tortugas National Park,DRTO,FL,2017,October,233,75,4179,900,0,158,0,0,0,176,75,409
Dry Tortugas National Park,DRTO,FL,2017,November,5020,129,62808,1548,0,214,0,0,0,608,129,951
Dry Tortugas National Park,DRTO,FL,2017,December,5000,138,62400,1656,0,200,0,0,0,600,138,938
Dry Tortugas National Park,DRTO,FL,2018,January,4236,15,49710,180,0,316,0,0,0,200,15,531
Dry Tortugas National Park,DRTO,FL,2018,February,6474,198,71295,2376,0,416,0,0,0,680,198,1294
Dry Tortugas National Park,DRTO,FL,2018,March,5509,129,70164,1548,0,338,0,0,0,508,129,975
Dry Tortugas National Park,DRTO,FL,2018,April,4908,216,65544,2592,0,554,0,0,0,240,216,1010
Dry Tortugas National Park,DRTO,FL,2018,May,5488,2001,64731,24012,0,0,0,0,0,696,2001,2697
Dry Tortugas National Park,DRTO,FL,2018,June,5854,318,83832,3816,0,1132,0,0,0,660,318,2110
Dry Tortugas National Park,DRTO,FL,2018,July,6162,489,82644,5868,0,890,0,0,0,864,489,2243
Dry Tortugas National Park,DRTO,FL,2018,August,6484,372,81690,4464,0,442,0,0,0,1288,372,2102
Dry Tortugas National Park,DRTO,FL,2018,September,4845,105,61098,1260,0,362,0,0,0,448,105,915
Dry Tortugas National Park,DRTO,FL,2018,October,643,114,9111,1368,0,174,0,0,0,195,114,483
Dry Tortugas National Park,DRTO,FL,2018,November,4921,285,61560,3420,0,230,0,0,0,693,285,1208
Dry Tortugas National Park,DRTO,FL,2018,December,1286,213,14364,2556,0,76,0,0,0,666,213,955
Dry Tortugas National Park,DRTO,FL,2019,January,6179,222,50836,2664,0,878,0,0,0,477,222,1577
Dry Tortugas National Park,DRTO,FL,2019,February,6937,195,49360,2340,0,208,0,0,0,792,195,1195
Dry Tortugas National Park,DRTO,FL,2019,March,7417,225,56015,2700,0,668,0,0,0,554,225,1447
Dry Tortugas National Park,DRTO,FL,2019,April,7720,297,58769,3564,0,528,0,0,0,1040,297,1865
Dry Tortugas National Park,DRTO,FL,2019,May,8124,249,62047,2988,0,710,0,0,0,1160,249,2119
Dry Tortugas National Park,DRTO,FL,2019,June,8041,285,68629,3420,0,1052,0,0,0,1984,285,3321
Dry Tortugas National Park,DRTO,FL,2019,July,7692,267,58939,3204,0,766,0,0,0,520,267,1553
Dry Tortugas National Park,DRTO,FL,2019,August,6658,156,50925,1872,0,352,0,0,0,468,156,976
Dry Tortugas National Park,DRTO,FL,2019,September,4694,204,37669,2448,0,304,0,0,0,868,204,1376
Dry Tortugas National Park,DRTO,FL,2019,October,4432,171,32946,2052,0,320,0,0,0,141,171,632
Dry Tortugas National Park,DRTO,FL,2019,November,5336,183,39919,2196,0,412,0,0,0,289,183,884
Dry Tortugas National Park,DRTO,FL,2019,December,5970,132,47144,1584,0,588,0,0,0,562,132,1282
Dry Tortugas National Park,DRTO,FL,2020,January,5911,144,46002,1728,0,458,0,0,0,226,144,828
Dry Tortugas National Park,DRTO,FL,2020,February,5972,189,45282,2268,0,292,0,0,0,258,189,739
Dry Tortugas National Park,DRTO,FL,2020,March,3674,153,27995,1836,0,176,0,0,0,507,153,836
Dry Tortugas National Park,DRTO,FL,2020,April,200,120,1600,1440,0,0,0,0,0,200,120,320
Dry Tortugas National Park,DRTO,FL,2020,May,308,111,2464,1332,0,0,0,0,0,308,111,419
Dry Tortugas National Park,DRTO,FL,2020,June,4389,189,34544,2268,0,464,0,0,0,1130,189,1783
Dry Tortugas National Park,DRTO,FL,2020,July,3928,126,29514,1512,0,420,0,0,0,593,126,1139
Dry Tortugas National Park,DRTO,FL,2020,August,3971,117,30428,1404,0,320,0,0,0,895,117,1332
Dry Tortugas National Park,DRTO,FL,2020,September,4510,87,36092,1044,0,534,0,0,0,546,87,1167
Dry Tortugas National Park,DRTO,FL,2020,October,5384,69,42269,828,0,424,0,0,0,423,69,916
Dry Tortugas National Park,DRTO,FL,2020,November,3901,9,30223,108,0,260,0,0,0,173,9,442
Dry Tortugas National Park,DRTO,FL,2020,December,6395,78,50938,936,0,606,0,0,0,543,78,1227
Dry Tortugas National Park,DRTO,FL,2021,January,7519,135,55813,1620,0,312,0,0,0,1020,135,1467
Dry Tortugas National Park,DRTO,FL,2021,February,4641,123,35253,1476,0,300,0,0,0,675,123,1098
Dry Tortugas National Park,DRTO,FL,2021,March,8055,171,58134,2052,0,528,0,0,0,1059,171,1758
Dry Tortugas National Park,DRTO,FL,2021,April,7488,18,56877,216,0,666,0,0,0,626,18,1310
Dry Tortugas National Park,DRTO,FL,2021,May,7497,36,56639,432,0,726,0,0,0,409,36,1171
Dry Tortugas National Park,DRTO,FL,2021,June,8175,174,62559,2088,0,788,0,0,0,1016,174,1978
Dry Tortugas National Park,DRTO,FL,2021,July,6880,153,52927,1836,0,684,0,0,0,429,153,1266
Dry Tortugas National Park,DRTO,FL,2021,August,6274,30,48795,360,0,556,0,0,0,482,30,1068
Dry Tortugas National Park,DRTO,FL,2021,September,6115,381,47599,4572,0,488,0,0,0,80,381,949
Dry Tortugas National Park,DRTO,FL,2021,October,6789,0,49744,0,0,514,0,0,0,44,0,558
Dry Tortugas National Park,DRTO,FL,2021,November,6732,30,51639,360,0,476,0,0,0,375,30,881
Dry Tortugas National Park,DRTO,FL,2021,December,7652,87,56924,1044,0,536,0,0,0,819,87,1442
Dry Tortugas National Park,DRTO,FL,2022,January,6633,0,45484,0,0,0,0,0,0,487,0,487
Dry Tortugas National Park,DRTO,FL,2022,February,6220,252,49379,3024,0,468,0,0,0,659,252,1379
Dry Tortugas National Park,DRTO,FL,2022,March,7528,147,54525,1764,0,272,0,0,0,879,147,1298
Dry Tortugas National Park,DRTO,FL,2022,April,7562,186,55142,2232,0,322,0,0,0,978,186,1486
Dry Tortugas National Park,DRTO,FL,2022,May,7951,207,60228,2484,0,480,0,0,0,1076,207,1763
Dry Tortugas National Park,DRTO,FL,2022,June,7460,213,58503,2556,0,856,0,0,0,1112,213,2181
Dry Tortugas National Park,DRTO,FL,2022,July,6849,525,57174,6300,0,784,0,0,0,621,525,1930
Dry Tortugas National Park,DRTO,FL,2022,August,6725,222,56248,2664,0,926,0,0,0,583,222,1731
Dry Tortugas National Park,DRTO,FL,2022,September,5357,147,43791,1764,0,620,0,0,0,519,147,1286
Dry Tortugas National Park,DRTO,FL,2022,October,3603,0,23829,0,0,0,0,0,0,56,0,56
Dry Tortugas National Park,DRTO,FL,2022,November,5630,0,40215,0,0,0,0,0,0,95,0,95
Dry Tortugas National Park,DRTO,FL,2022,December,6970,210,54183,2520,0,596,0,0,0,570,210,1376
Dry Tortugas National Park,DRTO,FL,2023,January,5956,111,43751,1332,0,326,0,0,0,502,111,939
Dry Tortugas National Park,DRTO,FL,2023,February,6899,126,50618,1512,0,512,0,0,0,582,126,1220
Dry Tortugas National Park,DRTO,FL,2023,March,7989,75,59699,900,0,664,0,0,0,699,75,1438
Dry Tortugas National Park,DRTO,FL,2023,April,7707,144,55874,1728,0,506,0,0,0,789,144,1439
Dry Tortugas National Park,DRTO,FL,2023,May,9215,123,67422,1476,0,604,0,0,0,1469,123,2196
Dry Tortugas National Park,DRTO,FL,2023,June,8474,105,65005,1260,0,976,0,0,0,823,105,1904
Dry Tortugas National Park,DRTO,FL,2023,July,7375,243,58114,2916,0,708,0,0,0,524,243,1475
