Year,Code,Name,Recreation Visits,"Visitor
Spending ($)",Jobs Supported,Labor Income ($),Value Added ($),"Economic
Output ($)"
2022,MORA,Mount Rainier National Park,1622395.00,67234.00,687.00,32128.00,56333.00,87612.00
2022,NOCA,North Cascades National Park,30154.00,1639.00,15.00,758.00,1293.00,1955.00
2022,OLYM,Olympic National Park,2432972.00,227620.00,2453.00,117022.00,208138.00,320238.00
2022,PEFO,Petrified Forest National Park,505209.00,36752.00,434.00,14026.00,23644.00,42065.00
2022,PINN,Pinnacles National Park,275023.00,18922.00,162.00,9962.00,15116.00,21802.00
2022,ROMO,Rocky Mountain National Park,4300424.00,583794.00,8082.00,351160.00,566000.00,911894.00
2022,SAGU,Saguaro National Park,908194.00,66012.00,876.00,34400.00,58183.00,99981.00
2022,SEKI,Sequoia & Kings Canyon National Parks,1794184.00,157530.00,1933.00,72556.00,116412.00,196461.00
2022,SHEN,Shenandoah National Park,1449300.00,104152.00,1239.00,55478.00,90656.00,145464.00
2022,THRO,Theodore Roosevelt National Park,668679.00,47721.00,570.00,17091.00,29032.00,52799.00
2022,VIIS,Virgin Islands National Park,196752.00,31028.00,347.00,15075.00,28661.00,43520.00
2022,VOYA,Voyageurs National Park,221434.00,20136.00,278.00,7953.00,13645.00,25414.00
2022,WHSA,White Sands National Park (formerly White Sands National Monument),705127.00,42405.00,572.00,16168.00,26111.00,50919.00
2022,WICA,Wind Cave National Park,607418.00,52696.00,741.00,23201.00,41099.00,75038.00
2022,WRST,Wrangell - St. Elias National Park & Preserve,65236.00,107689.00,1510.00,58942.00,94051.00,161154.00
2022,YELL,Yellowstone National Park,3290242.00,452025.00,6234.00,210832.00,327536.00,599600.00
2022,YOSE,Yosemite National Park,3667550.00,497552.00,6314.00,243403.00,398697.00,683739.00
2022,ZION,Zion National Park,4692417.00,672427.00,10777.00,277900.00,492714.00,961270.00
2021,ACAD,Acadia National Park,4069098.00,486056.00,6841.00,236009.00,401158.00,702038.00
2021,ARCH,Arches National Park,1806865.00,236999.00,3229.00,94614.00,160803.00,294344.00
2021,BADL,Badlands National Park,1224226.00,88287.00,1193.00,34782.00,61008.00,114085.00
2021,BIBE,Big Bend National Park,581220.00,53078.00,726.00,20472.00,32565.00,61238.00
2021,BISC,Biscayne National Park,705655.00,50551.00,658.00,25625.00,43312.00,73538.00
2021,BLCA,Black Canyon Of The Gunnison National Park,308910.00,21401.00,250.00,9270.00,15505.00,26676.00
2021,BRCA,Bryce Canyon National Park,2104600.00,194832.00,2693.00,78801.00,135874.00,252003.00
2021,CANY,Canyonlands National Park,911594.00,62875.00,777.00,22784.00,38827.00,71270.00
2021,CARE,Capitol Reef National Park,1405353.00,113355.00,1361.00,42947.00,74236.00,131894.00
2021,CAVE,Carlsbad Caverns National Park,349244.00,25066.00,312.00,8679.00,14898.00,27448.00
2021,CHIS,Channel Islands National Park,319252.00,21278.00,254.00,12373.00,19516.00,31155.00
2021,CONG,Congaree National Park,215181.00,12311.00,145.00,4727.00,8416.00,14808.00
2021,CRLA,Crater Lake National Park,647751.00,61964.00,887.00,33579.00,51661.00,90509.00
2021,CUVA,Cuyahoga Valley National Park,2575275.00,48712.00,681.00,26464.00,41878.00,75054.00
2021,DEVA,Death Valley National Park,1146551.00,104182.00,1228.00,51126.00,86399.00,138262.00
2021,DENA,Denali National Park & Preserve,229521.00,255220.00,3585.00,139985.00,224864.00,383763.00
2021,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),83817.00,5696.00,61.00,2294.00,3892.00,6456.00
2021,EVER,Everglades National Park,942130.00,100209.00,1401.00,53662.00,91766.00,154787.00
2021,GAAR,Gates of the Arctic National Park & Preserve,7362.00,11995.00,169.00,6571.00,10481.00,17951.00
2021,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),1145081.00,126069.00,2048.00,72060.00,115892.00,210056.00
2021,GLBA,Glacier Bay National Park & Preserve,89768.00,39104.00,521.00,22521.00,34641.00,66370.00
2021,GLAC,Glacier National Park,3081656.00,383738.00,5975.00,193050.00,297111.00,572155.00
2021,GOSP,Golden Spike National Park (Historic Site),4532677.00,710256.00,9390.00,324318.00,539433.00,944693.00
2021,GRCA,Grand Canyon National Park,4532677.00,710256.00,9390.00,324318.00,539433.00,944693.00
2021,GRTE,Grand Teton National Park,3885230.00,774059.00,10544.00,357591.00,560827.00,1021772.00
2021,GRBA,Great Basin National Park,144875.00,9120.00,122.00,2634.00,4825.00,9608.00
2021,GRSA,Great Sand Dunes National Park & Preserve,602613.00,41277.00,536.00,16956.00,29116.00,52415.00
2021,GRSM,Great Smoky Mountains National Park,14161548.00,1292745.00,18807.00,618010.00,1036519.00,1845873.00
2021,GUMO,Guadalupe Mountains National Park,243291.00,16832.00,234.00,6597.00,10788.00,20694.00
2021,HALE,Haleakalā National Park,853181.00,61017.00,598.00,27256.00,50295.00,76667.00
2021,HAVO,Hawai'i Volcanoes National Park,1262747.00,117162.00,1218.00,54541.00,101491.00,153928.00
2021,HOSP,Hot Springs National Park,2162884.00,154494.00,2199.00,60944.00,110594.00,207667.00
2021,INDU,Indiana Dunes National Park (National Lakeshore),3177210.00,156287.00,1877.00,88812.00,141460.00,230617.00
2021,ISRO,Isle Royale National Park,25844.00,5903.00,101.00,1937.00,3535.00,7126.00
2021,JOTR,Joshua Tree National Park,3064400.00,169725.00,2037.00,76696.00,124069.00,207828.00
2021,KATM,Katmai National Park & Preserve,24764.00,40348.00,569.00,22102.00,35257.00,60382.00
2021,KEFJ,Kenai Fjords National Park,411782.00,79270.00,1379.00,49496.00,67062.00,121073.00
2021,KOVA,Kobuk Valley National Park,11540.00,18802.00,265.00,10300.00,16430.00,28138.00
2021,LACL,Lake Clark National Park & Preserve,18278.00,29779.00,420.00,16312.00,26021.00,44565.00
2021,LAVO,Lassen Volcanic National Park,359635.00,24328.00,304.00,10371.00,16574.00,29146.00
2021,MACA,Mammoth Cave National Park,515774.00,47874.00,643.00,25464.00,40940.00,69198.00
2021,MEVE,Mesa Verde National Park,548477.00,62609.00,825.00,24452.00,43215.00,79532.00
2021,MORA,Mount Rainier National Park,1670063.00,66989.00,688.00,31951.00,55935.00,86927.00
2021,NOCA,North Cascades National Park,17855.00,953.00,9.00,441.00,751.00,1134.00
2021,OLYM,Olympic National Park,2718925.00,250067.00,2711.00,128686.00,228921.00,351839.00
